---------------------------------------------------------------------------------------------
Output for sample-g.txt
---------------------------------------------------------------------------------------------
('total number of words=', 2096932)
('total number of distinct words=', 36767)
('popular_threshold_word=', 1839.0)
('common_threshold_l_word=', 17464.0)
('common_threshold_u_word=', 19303.0)
('rare_threshold_word=', 34928.0)
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
| 866|          pale|      234|
| 867|        effect|      233|
| 868|        emilia|      233|
| 869|       receive|      233|
| 870|        hearts|      233|
| 871|           iii|      233|
| 872|       beseech|      232|
| 873|          grey|      232|
| 874|          lear|      232|
| 875|       captain|      231|
| 876|      dashwood|      231|
| 877|       several|      231|
| 878|           six|      231|
| 879|        afraid|      230|
| 880|       english|      230|
| 881|           sin|      230|
| 882|      speaking|      230|
| 883|     valentine|      230|
| 884|         clear|      229|
| 885|  conversation|      229|
| 886|     satisfied|      229|
| 887|         spite|      229|
| 888|         flame|      229|
| 889|       turning|      228|
| 890|        health|      228|
| 891|     christian|      227|
| 892|         didst|      227|
| 893|       estella|      227|
| 894|         judge|      227|
| 895|       cassius|      226|
| 896|     desdemona|      226|
| 897|     exclaimed|      226|
| 898|      observed|      225|
| 899|            ho|      224|
| 900|        dromio|      223|
| 901|       feeling|      223|
| 902|         frank|      223|
| 903|      gracious|      223|
| 904|         paper|      223|
| 905|         added|      222|
| 906|          rose|      222|
| 907|         takes|      222|
| 908|         offer|      221|
| 909|     beginning|      220|
| 910|    antipholus|      219|
| 911|       proteus|      219|
| 912|      whatever|      219|
| 913|         parts|      219|
| 914|         piece|      219|
| 915|        breast|      218|
| 916|      consider|      218|
| 917|        speech|      218|
| 918|          view|      218|
| 919|     ourselves|      218|
| 920|        former|      217|
| 921|       palamon|      217|
| 922|       pleased|      217|
| 923|       entered|      216|
| 924|           ran|      216|
| 925|         smile|      216|
| 926|         fresh|      216|
| 927|      greatest|      216|
| 928|    coriolanus|      215|
| 929|       wherein|      215|
| 930|       knowing|      215|
| 931|        behold|      214|
| 932|    conscience|      214|
| 933|          soft|      214|
| 934|         titus|      214|
| 935|        wished|      214|
| 936|          gate|      214|
| 937|  acquaintance|      213|
| 938|          base|      213|
| 939|     excellent|      213|
| 940|        simple|      213|
| 941|          wine|      213|
| 942|         lover|      213|
| 943|         biddy|      212|
| 944|         equal|      212|
| 945|        strike|      212|
| 946|         taste|      212|
| 947|         allow|      211|
| 948|          died|      211|
| 949|       revenge|      211|
| 950|          stop|      211|
| 951|         noise|      211|
| 952|     according|      210|
| 953|        angelo|      210|
| 954|       fairfax|      210|
| 955|          weep|      210|
| 956|          safe|      209|
| 957|          wall|      209|
| 958|          lucy|      209|
| 959|   opportunity|      209|
| 960|      bardolph|      208|
| 961|         deeds|      208|
| 962|         yield|      208|
| 963|      governor|      208|
| 964|          moon|      208|
| 965|     adventure|      207|
| 966|     character|      207|
| 967|       colonel|      207|
| 968|         early|      207|
| 969|        remain|      207|
| 970|          toby|      207|
| 971|           inn|      207|
| 972|       jaggers|      207|
| 973|         merry|      207|
| 974|     petruchio|      207|
| 975|        battle|      206|
| 976|         brave|      206|
| 977|       warrant|      206|
| 978|        nobody|      206|
| 979|        number|      206|
| 980|       confess|      205|
| 981|          drew|      205|
| 982|          shut|      205|
| 983|          sing|      205|
| 984|            ha|      205|
| 985|       citizen|      204|
| 986|         pride|      204|
| 987|      clarence|      203|
| 988|          sons|      203|
| 989|      standing|      203|
| 990|         flesh|      203|
| 991|        forget|      203|
| 992|        notice|      203|
| 993|        arcite|      202|
| 994|       bastard|      202|
| 995|         friar|      202|
| 996|        hector|      202|
| 997|         angry|      201|
| 998|       reached|      201|
| 999|       sitting|      201|
|1000|        likely|      201|
|1001|          oath|      201|
|1002|     agreement|      200|
|1003|        report|      200|
|1004|       talking|      200|
|1005|          hang|      200|
|1006|      benedick|      199|
|1007|        mighty|      199|
|1008|        pompey|      199|
|1009|          host|      198|
|1010|      jennings|      198|
|1011|           yea|      197|
|1012|      kindness|      197|
|1013|       berowne|      196|
|1014|          bold|      196|
|1015|       calling|      196|
|1016|     companion|      196|
|1017|      creature|      196|
|1018|          deny|      196|
|1019|         dress|      196|
|1020|         quick|      196|
|1021|    willoughby|      196|
|1022|        juliet|      196|
|1023|       kingdom|      196|
|1024|      menenius|      196|
|1025|      judgment|      195|
|1026|       manners|      195|
|1027|         bosom|      194|
|1028|       changed|      194|
|1029|       delight|      194|
|1030|  satisfaction|      194|
|1031|          weak|      194|
|1032|          wild|      194|
|1033|          gain|      194|
|1034|        helena|      194|
|1035|       leaving|      194|
|1036|       meaning|      194|
|1037|     beautiful|      193|
|1038|        became|      193|
|1039|     churchill|      193|
|1040|          dull|      193|
|1041|       waiting|      193|
|1042|          grow|      193|
|1043|          kent|      193|
|1044|         laugh|      193|
|1045|        pistol|      193|
|1046|          deed|      192|
|1047|      interest|      192|
|1048|    acquainted|      191|
|1049|    attendants|      191|
|1050|      expected|      191|
|1051|      resolved|      191|
|1052|        single|      191|
|1053|        length|      191|
|1054|        attend|      190|
|1055|        silent|      190|
|1056|        stands|      190|
|1057|           woe|      190|
|1058|       conduct|      189|
